names,research
"Hoque, Shamia","Dr. Hoque’s research interests are on the development and application of mathematical
                                 models for fluid flow, pathogen dispersion and decontamination in the environmental
                                 system with the objective of informing risk assessors and first responders.  Her research
                                 goal is to establish predictive integrated frameworks through coupling detailed models,
                                 statistical methods and risk analysis for providing a priori information and design
                                 tools for a more sustainable and resilient urban and built environment. Recent studies
                                 have involved multi physics modeling applying computational fluid dynamics analysis
                                 for predicting bioaerosol transport and inactivation in indoor areas through neural
                                 networks and modeling and assessing health impacts of nano-additives in fuels in urban
                                 environment. | Metamodel|Healthy buildings|Sustainable technology|Transportation and Environment"
"Hoskins, William ","['research', 'computer', 'engineering']"
"Hu, Jianjun","Dr. Hu's research interests are in the areas of machine learning, deep learning, data
                                    mining, big data, evolutionary computation and their applications in bioinformatics,
                                    material informatics, and health informatics. His research has been sponsored by NSF,
                                    NIH, Nvidia, and the South Carolina Department of Transportation. Currently, his major
                                    research focus is developing deep learning algotrithms for solving challenging application
                                    problems such as:|Intelligent audio/sound processing|Data-driven material discovery|Disease diagnosis and prediction, medical image analysis|Disease gene discovery, protein-peptide binding prediction for drug design, and protein
                                    design|Big data driven predictive analytics for healthcare|Fault diagnosis, text mining, and intelligent transportation | Deep learning|AI for Science|materials informatics|bioinformatics|evolutionary computation"
"Hu, Ming","Dr. Hu's research interests include modeling and simulation of micro-/nano-scale thermal
                                 transport in novel energy systems, in particular low-dimensional materials and nanostructures,
                                 and energy nanotechnology, interfacial heat transfer for advanced thermal management,
                                 and multi-scale and multiphysics modeling of complex energy transport process. | Heat Transfer|Phonons|High-Throughput Material Discovery|Machine Learning|Artificial Intelligence"
"Huang, Chin-Tser","Professor Huang's research interests include network security, network protocol design
                                    and verification, and distributed systems. His current research focuses on intrusion
                                    detection and wireless network security. | Network Security|Network Protocol Design and Verification|Distributed Systems"
"Huang, Kevin ",fuel cells|batteries|gas membranes|modeling|electrochemistry
"Huang, Xinyu ",fuel cell|composites|coating|durability
"Huhns, Michael N.","Professor Huhns' research interests are in the areas of multiagent systems, service-oriented
                                    computing, enterprise integration, and ontology-based distributed information systems.
                                    In these areas he is the author of over 250 technical papers and eleven books, including
                                    his recent book Service-Oriented Computing: Semantics, Processes, Agents. He holds one patent for the architecture of a distributed computer system. He has
                                    conducted research funded by NSF, DARPA, NIST, IARPA, DOE, EPA, USDA, and NASA, as
                                    well as numerous industrial organizations. He serves on the editorial boards for 12
                                    journals, is a Senior Member of the ACM, a Fellow of the Association for the Advancement
                                    of Artificial Intelligence, and a Fellow of the IEEE. | multiagent systems|service-oriented computing|ontologies|computer vision|distributed computing"
"Hull, Brian ","['research', 'computer', 'engineering']"
"Humphries, Wilfred Kenneth","['Areas of research , teaching , and professional practice include soil dynamics , effects of blasting on structures , flexible pavements , soil stabilization , deep and shallow foundations , lateral earth pressures , and retaining walls . At present , Dr . Humphries serves as Senior Geotechnical Consultant for Terracon Consultants , Inc . , a national engineering firm with approximately 3 , 000 employees with locations in over 100 cities in the U . S . In recognition of Dr . Humphries service to the Engineering community , he has received numerous awards and honors including the Order of the Palmetto South Carolina s highest honor , the rank of Fellow by both ASCE and NSPE , South Carolina Engineer of the Year , the Public Service Award , the Letalier Cup , and the Government Employee of the Year , among others .']"
"Imran, Jasim",Unsteady free surface flow|sediment transport|mass gravity flows|turbidity currents|numerical and experimental modeling
"Inglett, Russell",Environmental Engineering
"Jabbari, Esmaiel","Tissue engineering involves the triad of biomaterial science, growth factor delivery,
                                 and molecular biology to engineer devices for cell immobilization and tissue regeneration.
                                 Jabbari’s research draws upon chemistry, biology, macromolecular science and exploits
                                 biomimetic strategies to engineer cellular constructs for regeneration of skeletal
                                 tissues. Biologically-inspired materials combined with micro/nanoscale technologies
                                 can potentially create constructs to support delivery, differentiation, and maturation
                                 of progenitor cells to multiple lineages to regenerate complex tissues like bone and
                                 cartilage. Current projects include: (1) bio-inspired multiscale constructs for regeneration
                                 of load-bearing large bone segments; (2) micro-patterned cellular constructs with
                                 gradient of growth factors for concurrent induction of osteogenesis and vasculogenesis;
                                 (3) multilayer gradient constructs for the regeneration of articular cartilage; (4)
                                 cancer stem cell mechanotransduction in an engineered matrix; and (4) synthesis of
                                 self-assembled nanogels for the delivery of multiple growth factors in regenerative
                                 medicine. | Biomaterials|Tissue Engineering|Protein Delivery"
"Jabbarzadeh, Ehsan","The overarching theme of our research is the robust design and engineering of tissues
                                 through understanding and modeling of the environmental effects on stem cell differentiation
                                 and tissue remodeling and development. We are engineering microenvironments based
                                 on carbon nanotube arrays with finely controllable biophysical and biochemical properties
                                 for the investigation of molecular mechanisms associated with cell migration, proliferation
                                 and differentiation. Investigations in the lab revolve around how cells sense distinctive
                                 types of mechanical, biochemical and morphological cues and integrate them to generate
                                 an appropriate response. This work is complemented by a parallel effort to construct
                                 a single cell based mathematical model of intercellular signaling events that are
                                 linked to signaling outputs associated with fate commitment. In addition, our laboratory
                                 is actively pursuing the development of biomaterials that recapitulate the key characteristics
                                 of natural extracellular matrix for applications in bone and vascular tissue engineering. | Tissue Engineering|Stem Cells|Drug Discovery|Entrepreneurship"
"Jacob, Katherine","['research', 'computer', 'engineering']"
"Jalilvand, Golareh","['Dr . Golareh Jalilvand is a Research Assistant Professor of the Chemical Engineering department at the University of South Carolina UofSC . She received her B . Sc . , M . Sc . and Ph . D . in Materials Science and Engineering prior joining the UofSC as a research faculty . During the course of her Ph . D . , She was the graduate research assistant in the Microelectronics Fabrication and Reliability lab at the University of Central Florida , where she worked on through silicon and glass via TSV TGV based 3D integration , thermo mechanical reliability of solder joints , and novel materials for interconnection , heterogeneous integration and packaging in micro nano electronics . Dr . Jalilvand s contributions to the field of thin films for 3D integrated microelectronics has been recognized in several national and international platforms . Prior to her research on microelectronics , she focused on thin films for solid oxide fuel cells and energy conversion for a green paradigm , where she studied new interconnect materials . Dr . Jalilvand s research interests include microstructure property relationships in interconnects for 3D integrated circuits 3D ICs . Assisted by machine learning methods developed through a collaboration with the department of Computer Science and Engineering of UofSC , she is currently working on microstructure optimization via unique electroplating techniques to enhance the reliability of 3D IC interconnects .']"
"Jamshidi, Pooyan ","Pooyan Jamshidi's research involves designing novel artificial intelligence and machine
                                 learning algorithms and investigating their theoretical guarantees. He is also interested
                                 in applying the AI/ML algorithms in high-impact applications, including robotics,
                                 computer systems, healthcare, neuroscience, space explorations, engineering, and sciences.
                                 Pooyan has extensive collaborations with industry, including Google and NASA, and
                                 he is always open to new collaborations.|Research Themes:|Causal AI and Statistical ML: Theory, Structure Learning, Inference, Transfer Learning, Multi-objective Optimization|Deep Learning: Deep Learning for Symbolic Math, Representation Learning, Deep RL, Neural Architectures|Trustworthy AI: Security of ML/AI, Robustness, Explainability|ML for Systems: Computer Architecture, Machine Learning Systems, Highly-Configurable Systems|Robot Learning: Causal Reinforcement Learning, Autonomous Robots, Autonomous Space Rovers, Self-Adaptive
                                    Systems|His Application Interests Include:|Computer Systems: Autonomous systems, Robotics, Big data analytics, Computer architecture, Software
                                    engineering|Healthcare: Cancer research, Functional genomics, Drug discovery|Chemistry: Learning molecular representations|Mathematics: Symbolic mathematics|Neuroscience: Child learning, Neuroplasticity, Meta-learning | Machine Learning Systems|Causality|ML for Systems|Systems for ML|Self-Adaptive Systems"
"Jenkins, Renee","['research', 'computer', 'engineering']"
"Jennings, Kati","['research', 'computer', 'engineering']"
"Johnson, Hope",Electrical Engineering
"Johnson, Will","['research', 'computer', 'engineering']"
"Joseph, Lesley",Water and Wastewater Treatment|Environmental Justice|Environmental Health Disparities|Water-Climate-Health Nexus
"Jusiewicz, Sarah","['research', 'computer', 'engineering']"
"Kanapala, Neema ",['Neema Kanapala teaches various undergraduate courses .']
"Karakchi, Rasha","['Heterogeneous Computing, FPGA overlay, Data Analytics, Special-Purpose processors']"
"Keefe, Ryanne","['research', 'computer', 'engineering']"
"Kfoury, Elie",Programmable data planes and Software-defined Networking (SDN)|High-speed networks and Science DMZs|Cybersecurity|Blockchain|Cloud computing and data center virtualization
"Khan, Asif","['SwearingenRoom 3A26301 Main StreetColumbia , SC 29208']"
"Khan, Jamil   A.",Heat transfer|Fluid mechanics
"Knight, Travis W.",nuclear fuel|fuel cycles|nuclear safeguards|modeling and simulation|space nuclear power
"Lauterbach, Jochen","Professor Lauterbach's research interests are in the area of heterogeneous catalysis
                                 and nanoparticle synthesis, as applied to environmental processes and hydrogen generation
                                 for fuel cells. The group employs advanced spectroscopic techniques to gain insight
                                 into molecular level processes on catalysts. We also develop and employ high-throughput
                                 screening methodologies for rapid discovery and optimization of catalyst formulations.|Professor Lauterbach is also the Director of the South Carolina Center of Economic
                                 Excellence in Strategic Approaches to the Generation of Electricity (SAGE). Coal will
                                 remain an important factor in affordable electricity production in the foreseeable
                                 future. This center focuses on novel materials for three key problems with coal power
                                 plant emissions: CO2 capture and utilization, mercury removal from flue gas, and analysis of coal before
                                 combustion. Research in the Center also includes other alternatives to the traditional
                                 coal power plant, such as fuel cell technology coupled with coal combustion, co-firing
                                 of biomass, etc. | Heterogeneous catalysis|CO2 conversion|high-throughput screening|machine learning|ammonia decomposition and synthesis"
"Lee, Dongkyu",Oxide electrocatalysis|Nanostructured oxides|Energy applications
"Lee, Junsoo","Dr. Lee's expertise and research interests include stability theory, optimal control,
                                    multiagent systems, network control, and stochastic systems and control."
"Lee, Woo-Kum",Chemical Engineering
"Leonard, Rod",Electrical Engineering
"Lessner , Susan M.","Dr. Lessner’s work focuses on the vascular biology and biomechanics of atherosclerosis,
                                 with an emphasis on mechanical failure (plaque rupture) and intraplaque angiogenesis.
                                 Atherosclerotic plaque rupture is a leading cause of acute cardiovascular events such
                                 as heart attack and stroke. Evidence suggests that plaque rupture results from an
                                 adverse interaction between biomechanical and biological factors. Our research focuses
                                 on understanding the interplay between both these types of factors, in order to develop
                                 methods to reduce the incidence of plaque rupture.  On the biological side, we are
                                 particularly interested in intraplaque angiogenesis, or new blood vessel growth, as
                                 a destabilizing factor in plaque progression. We use transgenic mouse models and human
                                 endarterectomy specimens to examine the relationships between mechanical loading environment,
                                 matrix organization, and mechano-sensitive gene expression. On the biomechanics front,
                                 we study micromechanics of arterial tissue failure in plaque rupture and arterial
                                 dissection, and we aim to develop methods to identify patients at elevated risk of
                                 acute cardiovascular syndromes where material failure plays a major role. We use both
                                 experimental and computational approaches to understand artery wall failure mechanisms.
                                 I collaborate with faculty in Mechanical Engineering at UofSC, together with vascular
                                 surgeons at Greenville Hospital, Palmetto Health, and MUSC."
"Lewin, Alicia","['research', 'computer', 'engineering']"
"Lewis, Jeremy ",['Jeremy Lewis teaches various undergraduate courses .']
"Li, Chen ","['Dr . Li s research interest are micro nano scale two phase heat and flow physics , prediction , control and modeling . Aim at basic research in developing and verifying theories for two phase transport behaviors and the application of these theories towards controlling two phase heat and flows at micro nano scale .']"
"Ling, Yue (Stanley)","Dr. Ling's research focuses on the high-fidelity modeling and simulation of a wide
                                    range of multiphase flows and heat transfer processes. This encompasses atomization
                                    and sprays, the aerodynamic deformation and breakup of droplets, flows containing
                                    droplets and bubbles undergoing phase change, and the impact of droplets on solid
                                    surfaces and thin films.|More specifically, his research group develops advanced numerical methods and simulation
                                    tools. They conduct large-scale simulations using state-of-the-art supercomputers,
                                    investigating the intricate thermal-energy challenges within multiphase flows. Moreover,
                                    they develop physics-based and data-driven models to efficiently predict outcomes
                                    in practical applications."
"Liu, Chang","Point-Of-Care Testing and Lab Testing Assays and Devices for Protein Biomarkers of
                                       Various Diseases Disease biomarkers include two major categories: proteins and nucleic acids. In diagnostic
                                    testing of many diseases (e.g. HIV, Tuberculosis, COVID-19), nucleic acids usually exhibit higher sensitivity because
                                    they can be amplified exponentially, thus are detectable earlier after the onset of
                                    a disease. However, in many cases, such as HIV, there is no evidence showing that
                                    RNA appears ahead of antigen. The major challenge for antigen detection is that proteins
                                    cannot be amplified like nucleic acids, leading to the widely held belief that antigen
                                    (protein biomarker) tests are relatively insensitive and therefore have a limited
                                    clinical utility, which is in fact a technological issue. Our lab has developed a
                                    click chemistry amplified nanopore (CAN) assay for ultrasensitive circulating antigen
                                    quantification. This assay achieved ultralow detection limit in human blood, demonstrating
                                    higher analytical sensitivity than latest immunoassays and clinically used benchmark
                                    ELISA. Clinical evaluation in HIV and TB patients demonstrated superiority of the
                                    CAN assay for quantification at ultra-low concentration range in patients missed by
                                    traditional methods. We are currently developing a streamlined automatic device including
                                    a cost-effective microfluidic chip for sample preparation and a nanopore reader for
                                    quantification of protein biomarkers in clinical lab testing, POCT, and self-testing
                                    applications.|Machine Learning-Assisted Sequencing-by-Degradation for Single-Molecule Protein SequencingRevealing the primary sequence of a protein or peptide is essential to its identification
                                    and function. Protein sequencing is commonly performed using mass spectrometry (MS),
                                    a technique that involves fractionating the protein into many smaller peptides and
                                    then obtaining the mass-to-charge ratio of each new peptide. Recently, efforts have
                                    been made to develop single-molecule sequencing techniques for proteins similar to
                                    what were developed for nucleic acids. Comparing to MS, these single-molecule technologies
                                    have many desirable advantages: experimental simplicity; cost efficiency of instruments;
                                    potential portability; and robustness. While nanopore sequencing has matured in gene
                                    sequencing, similar methods are being explored for protein sequencing. Successful
                                    protein sequencing requires precisely identifying and locating each AA. A crucial
                                    point for nanopore sensing is the effective diameter and length of the sensing region
                                    (i.e. the constriction). Our group designed a “Sequencing-by-Degradation (SBD)” method,
                                    in which the N-terminal AAs of a peptide sample is chemically derivatized and cleaved,
                                    and then identified by a nanopore in a cyclic manner to reconstitute its sequence.
                                    The scientific advantage of this method lies in: higher sequencing accuracy and coverage
                                    than existing single-molecule methods; single-AA resolution by separately reading
                                    each AA; universal chemistry for degradation of all AAs in natural proteins; compatibility
                                    with routine pre-treatments for complex samples; and algorithms designed for identification
                                    in heterogeneous samples.|Toxin and Pollutant Identification, Detection, and InteractionPer- and polyfluoroalkyl substances (PFAS) manufactured and used in various industries
                                    are very persistent in the environment. Accumulation of PFAS in human body through
                                    food and water can lead to adverse health outcomes. Rapid and precise detection and
                                    identification of these environmental toxins is essential to protecting human health.
                                    We engineered nanopores by modifying the pore lumen with cyclodextrins as adapters
                                    to enable sensing of small PFAS molecules. Our results showed detection and identification
                                    of various PFOA-related and PFOS-related compounds, all are members of the PFAS family
                                    with slight size differences. Using this platform, we also successfully monitored
                                    a detoxification process that reverses the binding of PFOA to human serum albumin in vitro."
"Loggans, Brian","['research', 'computer', 'engineering']"
"Lyons, Jed ","['As the Senior Associate Dean for Academic Affairs , Dr . Lyons directs undergraduate recruitment , retention , and graduation activities . He provides college oversight for academic programs at all levels , manages academic resources and assessment services , directs K 12 outreach activities , and is part of the college s communications and marketing team . His research includes engineering education and engineering materials . Jed Lyons received his PhD in Mechanical Engineering from the Georgia Institute of Technology . In 1990 , he joined the University of South Carolina as an Assistant Professor in the Department of Mechanical Engineering , where he advanced to full Professor and served as Mechanical Engineering Undergraduate Director . In 2004 , he helped create a university wide Center for Teaching Excellence , where he served as the first Faculty Director from 2006 to 2012 . Lyons was appointed as the Associate Dean for Academic Affairs in the College of Engineering and Computing in 2012 and promoted to Senior Associate Dean in 2017 . Lyons was elected as a Fellow of the American Society for Engineering Education ASEE in 2009 . He was a founding member of the K 12 Engineering Division of ASEE , and has served as Chair and Executive Committee member of this Division . Lyons has also served the Mechanical Engineering Division of ASEE as Executive Committee Member , Secretary , Program Chair , and Division Chair . Lyons scholarship in the areas of mechanical engineering and engineering education includes over 8M in funded research and implementation projects . He has mentored over 200 research assistants , teaching assistants , teaching fellows and K 12 teacher researchers . In addition to ASEE Fellow status , Lyons works as an engineering educator has been recognized with Georgia Tech s Outstanding Young Alumni award 1996 . UofSC awards include the Michael J . Mungo Undergraduate Teaching award 2003 , Bedenbach Distinguished Service award 2006 , Litman Distinguished Professor award 2004 , and Educational Foundation Award for Outstanding Faculty Service 2019 . Lyons is a registered Professional Engineer in the State of South Carolina .']"
"Mandal, Krishna","Crystal growth of compound semiconductors, scintillators, and alloy materials for
                                    x-ray, gamma-ray, and neutron detectors for radiation monitoring, non-destructive
                                    testing, medical imaging, and high-energy astrophysics applications|Materials characterization, device fabrication and testing, deep-level defect analysis,
                                    front-end readout electronics & instrumentation|Applications of artificial intelligence and machine learning (AI/ML) algorithms in
                                    radiation detection systems for robust, high-performance measurements and analysis|High-efficiency heterojunction thin film solar cells (CIGS, CdTe, CZTS, Sb2S3, DSSC etc.)|THz sources, sensing, and imaging applications|2D-materials and nanomaterials | Semiconductor Devices|PV Solar Cells|Crystal Growth and Characterization|Radiation Detectors"
"Martin, Erik","['research', 'computer', 'engineering']"
"Matolak, David","Physical Layer Signaling/Processing: adaptive modulation & detection; dynamic high-capacity modulations (e.g., overlaid spread-spectrum/narrowband); assured
                                    signaling for adverse/contested environments, including low probability of detection/intercept
                                    & anti-jam|Wireless Channel Characterization: analysis, measurement, and modeling for statistically non-stationary and extreme
                                       settings; multi-band & multi-resolution models; air-ground & vehicle-to-vehicle (V2V); mmWave
                                    channels; stochastic/deterministic models for high-mobility platforms|Vehicle-to-Vehicle (V2V) & Aeronautical Communications: secure V2V & aeronautical networking; robust Air-X & UAV transmission/reception; high-efficiency V2V/V2X signaling|Ad Hoc/Multi-Platform Communications: multiple access, duplexing, & multiplexing for dynamic range/rate/latency/lifetime; non-stationary topologies; game-theoretic
                                    networking|Future Wireless Applications: PHY/DLL techniques for anomalous conditions (e.g., “ultra-reliable,” “extreme”); resilient long-term outdoor networks; multi-tier
                                    V2X networking; communications for civil, biological, and earth and space sciences"
"Matta, Fabio","Dr. Matta’s team of graduate and undergraduate assistants does experimental and theoretical
                                 research on construction materials and their structural performance, ranging from affordable and high-quality earth masonry to advanced cement- and polymer-matrix composites. Emphasis is placed on extreme stressors such as high wind pressures and flying debris
                                 impact (tornadoes, hurricanes), earthquakes, and radionuclide exposure. Areas of interest
                                 include: low-cost and hazard-resistant dwellings; civil infrastructure strengthening
                                 and repair; multi-scale and multi-functional reinforcement for cement composites;
                                 load testing, monitoring and assessment of constructed facilities; and corrosion in
                                 steel and concrete structures. Research sponsors include National Science Foundation,
                                 Department of Energy, Federal Highway Administration, National Institute of Standards
                                 and Technology, and industry.|“Field Trials for Cost-Effective Strengthening of SC Load Posted Bridges,” award SPR758,
                                    SC Department of Transportation/FHWA, 2021–2026.  Role: Co-PI (PI: P. Ziehl; Co-PIs:
                                    T. Cousins, B. Ross, Clemson University).|“Extremely Durable Graphene Oxide Nanoribbon Reinforced Concrete,” award G-SOW-A-00033,
                                    Savannah River National Laboratory, 2020.  Role: PI (UofSC Co-PI: M. Baalousha.  Lead
                                    institution: SRNL/DOE; PI: C. Langton; Co-PI: J. Gaillard).|“Collaborative Research: Engineered Earth Masonry for Affordable Seismic Resistant
                                    Low-Rise Buildings,” award 1537776, National Science Foundation, 2015–2019.  Role: PI, Lead Institution (with: M. Barbato,
                                    PI at University of California, Davis; UofSC Co-PIs: C. Pierce, M. Sutton).|“Radionuclide Waste Disposal: Development of Multi-scale Experimental and Modeling
                                    Capabilities,” subaward 1750-219-2020199 to DE-SC0012530, US Department of Energy/EPSCoR,
                                    2014–2020.  Role: PI (UofSC Co-PIs: J. Flora, J. Caicedo, T. Knight, P. Ziehl; Project
                                    PI: B. Powell, Clemson University).|“Prevention, Assessment and Remediation of Corrosion in Corten Steel Transmission
                                    Line Structures,” award TLAM/TODEM 3260/33100, Centre for Energy Advancement through
                                    Technological Innovation (CEATI), 2014–2016.  Role: PI.|“EAGER/Collaborative Research: Overcoming Barriers to Adoption of Sustainable and
                                    Resilient Building Materials in Coastal Areas of Southern Mexico,” award 1321489, National Science Foundation, 2013–2017.  Role: PI (UofSC Co-PI: A. Johnson.  Lead
                                    institution: The City College of New York; PI: J. Biles; Co-PIs: L. Bank, E. Obonyo).|“NUE: Nanotechnology LINK: An Integrated Approach for Nanotechnology Education: End-of-life
                                    Management of Nanomaterial-Containing Wastes,” award 1343756, National Science Foundation, 2013–2016.  Role: Co-PI (PI: N. Berge; Co-PIs: J. Caicedo,
                                    C. Pierce, Y. Yoon).|“Collaborative Research: Resilient and Sustainable Engineered Fiber-Reinforced Earthen
                                    Masonry for High Wind Regions,” award 1131161, National Science Foundation, 2011–2015.  Role: PI, Lead Institution (with: E. Erdogmus,
                                    PI at University of Nebraska-Lincoln; E. Obonyo, PI at University of Florida). | Advanced composites|sustainable construction materials|hazard mitigation|structural engineering"
"Matthews, Manton M","Professor Matthews' research interests include natural language processing, ontologies,
                                    parallel processing, and graph theory. His research was originally in graph theory
                                    and in particular K1,3-free (clawfree) graphs. Then as a young Assistant Professor
                                    in Computer Science there was a redirection from graph theory to more main stream
                                    computer science topics. The first areas were parallel algorithms and functional programming.
                                    The functional programming through some joint conferences led to artificial intelligence
                                    and in particular intelligent user interfaces and natural language processing. The
                                    interest in knowledge representation for natural language processing led to the research
                                    in ontologies. Finally, working with Dr. Chin-Tser Huang, and our research group has
                                    led to several publications in protocols for wireless security. | Graph Theory|Security|Natural language processing"
"Matthews, Michael A.","Professor Mike Matthews obtained his Ph.D. in 1986 from Texas A&M University. He joined
                                 the University of South Carolina in 1994. He teaches and conducts research in the
                                 broad field of thermodynamics, with projects related to hydrogen storage in chemical
                                 hydrides, biomedical engineering, and green chemistry. He has raised over $10M in
                                 research funding and has published approximately 70 journal papers. He has served
                                 as department chair, associate dean, and chair of the Industrial and Engineering Chemistry
                                 Division of the American Chemical Society (ACS). Currently he serves on the Committee
                                 on Environmental Improvement of ACS. He is a Fellow both of the American Chemical
                                 Society and the American Institute of Chemical Engineers.|Two major research thrusts are underway in his group. The first deals with applications
                                 of supercritical carbon dioxide for biomedical applications. Funding from the National
                                 Institute of Biomedical Imaging and Bioengineering has focused on development of novel
                                 technology for sterilization and disinfection of synthetic and natural biomaterials.
                                 Funding from the National Institute of Environmental Health Sciences is aimed at abatement
                                 of indoor allergenic proteins and other respiratory hazards. Dr. Matthews founded
                                 CarboNix LLC with the aid of three SBIR grants from the NIEHS.|The second thrust is in utilization of chemical hydrides as a hydrogen storage medium,
                                 with application in PEM fuel cells. Funding from NSF and DOE has led to expanded understanding
                                 of the role of deliquescence in the reaction between water vapor and sodium borohydride.
                                 In addition, improved understanding of the hydration states of the reaction products
                                 is important in decreasing the total water utilization in this reaction. | Cell Biology|Developmental Biology"
"Matthews, Rhea",Mechanical Engineering
"Mayo, Rebecca ","['research', 'computer', 'engineering']"
"McAnally, A. Steve","['Dr . McAnally s research interests focus on water and wastewater treatment , particularly appropriate technology applications for developing communities . Recent research projects include optimization studies for potable water production using low cost portable water treatment units . Other research areas include water treatment for heavy metals removal and corrosion control , industrial waste minimization , constructed wetland applications for industrial and municipal wastewater treatment and education reform in civil and environmental engineering .']"
"McCants, Dale ","['Dr . McCants research interests include nanofluids heat transfer mechanics , electronics thermal management , experimental and computational fluid dynamics with heat transfer .']"
"McCarthy, Cam","My lab studies novel mechanisms that contribute to vascular deterioration in cardiovascular
                                 and metabolic diseases, as well as aging. Current hypotheses include dysregulation
                                 in cellular recycling (autophagy) and energy sensing. Furthermore, we are interested
                                 in understanding the mechanisms by which therapeutic interventions such as exercise
                                 and caloric restriction reverse vascular dysfunction."
"McCaster, Brian","['research', 'computer', 'engineering']"
"McDuffie, Cameron",Mechanical Engineering
"McElwain, Danielle","['research', 'computer', 'engineering']"
"McEntire, Jamie","['research', 'computer', 'engineering']"
"McMillion, Sam","['research', 'computer', 'engineering']"
"McNeill, Stephen ","['Dr . McNeill s research and interests include computer vision , digital image correlation , microprocessors , experimental mechanics and reverse engineering .']"
"Meadows, Michael ",Civil and Environmental Engineering
"Meekins, Benjamin H.","Dr. Meekins has a background in photovoltaics, solar fuel conversion, and catalysis.
                                 As a member of the Chemical Engineering department at the University of South Carolina,
                                 his research interests include the synthesis of new candidate photovoltaic materials,
                                 photocatalytic splitting of water into hydrogen and oxygen, remediation of carbon
                                 dioxide to high-value products via solar-assisted pathways, and single-particle reaction
                                 kinetics and catalysis to aid fundamental understanding of catalytic processes. | Solar energy|hydrogen generation|solid state electrochemistry|electrochemistry|photoelectrochemistry"
"Mills, Shelby","['research', 'computer', 'engineering']"
"Mobli, Mostafa",Thermo-fluids|Multiphase Flow|Numerical Simulation
"Monnier, John R.","My research group focuses on heterogeneous catalysis, ranging from rational catalyst
                                 design and synthesis to characterization and evaluation. Current interests are in
                                 the design and synthesis of novel bimetallic catalysts for the selective transformation
                                 of hydrocarbons to higher value chemicals and for higher output PEM fuel cells. Bimetallic
                                 catalysts afford great opportunities for changing performance, either by changing
                                 the catalyst surfaces into ensembles of catalytic sites that permit only selected
                                 reaction pathways, modifying the electronic properties of the catalytic surface sites,
                                 or by introducing bifunctionality to the active surface by placing different catalytic
                                 metals in contiguous proximity. Bimetallic catalyst synthesis is often carried out
                                 by either simultaneous co-impregnation of both metal salts onto the catalyst support
                                 or by successive steps of metal salt addition. For either of these preparative methods,
                                 it is virtually impossible to ensure formation of only bimetallic particles; rather,
                                 formation of separate metallic particles of both metals can and does occur. Thus,
                                 it is very difficult to characterize such catalytic systems, and even more difficult
                                 to correlate catalyst performance with bimetallic catalyst composition. Our laboratory
                                 uses electroless deposition (ED), whereby a controlled chemical reaction is used to
                                 deposit a metal salt onto a catalytic metal site that has been activated by a reducing
                                 agent. The process may be either catalytic (deposition of the metal salt [metal A+]
                                 from solution onto the pre-existing metal [metal B°] on the support) or autocatalytic
                                 (deposition of the metal salt [metal A+] onto the just reduced, deposited metal [metal
                                 A°]), depending on the nature of the activated metal site and the reducing agent.
                                 In principle, ED should result in the selective deposition of the secondary metal
                                 onto a metallic surface with no formation of isolated crystallites of the secondary
                                 metal on the catalyst support. Perhaps most importantly, ED is an industrially-relevant
                                 process that can be applied to a wide range of metals. We have prepared a large number
                                 of bimetallic catalysts using electroless deposition. Those supported on carbon, such
                                 as Pt-Co, Pt-Pd, and Pt-Rh have been tested as electrocatalysts for PEM fuel cells,
                                 while silica-supported compositions such as Ag-Pt, Au-Pd, and Cu-Pd have been evaluated
                                 for traditional catalytic reactions such as selective epoxidation of olefins, selective
                                 oxidation of biomass molecules (such as glycerol), and selective hydrogenation of
                                 multi-functional olefins. Reactions are conducted in either automated, single-pass
                                 plug flow reactors (six in all) or two high pressure batch or stirred tank reactors.
                                 Our research projects are currently funded by NSF, DOE, and several industrial companies."
"Moore, Carver",Mechanical Engineering
"Morehouse, Jeff ","['Dr . Morehouse and his students have investigated a broad range of thermodynamic heat engine applications , ranging from space based fuel cell power systems to ground coupled heat pumps to phase change storage systems . Dr . Morehouse has long been associated with solar energy system design and analysis and is currently involved in a conventional HVAC control project and with evaporative system applications in humid climates .']"
"Moss, Melissa Ann","Professor Moss’s research focuses on the involvement of protein aggregation in Alzheimer’s
                                 disease. One hallmark of Alzheimer’s disease is the senile plaques that accumulate
                                 in the brain where they are associated with neuronal loss and in the cerebrovasculature
                                 where they may perpetuate stoke. These plaques are composed primarily of the amyloid
                                 β-protein (Aβ). Aβ aggregates into fibrils that deposit to yield plaques. Consequently,
                                 inhibition of Aβ aggregation has emerged as one therapeutic approach for Alzheimer’s
                                 disease.|The focus of our research is to understand this aggregation process and to identify
                                 and characterize inhibitors that attenuate Aβ aggregation. We utilize a myriad of
                                 biophysical techniques including chromatography, fluorescence spectroscopy, static
                                 and dynamic light scattering, Western blotting, dot blotting, electron microscopy,
                                 and atomic force microscopy. Furthermore, we seek to determine how various Aβ aggregation
                                 products affect both neuronal and vascular cells. In particular, we are interested
                                 in Ab stimulation of neuronal apoptosis and endothelial inflammatory responses, including
                                 NF-kB activation. Correlating changes in Ab aggregation with cellular effects will
                                 assist research efforts to design effective therapeutic agents for Alzheimer’s disease
                                 therapy."
"Mujica , Wanda","['research', 'computer', 'engineering']"
"Mulchahey, Kenneth",Integrated Information Technology
